RefOGs	num_species	num_genes	num_genes_per_species	avg_tree_length	min_length	max_length	mean_length	median_length	invariable_sites_proportion	gamma_shape	total_tree_length	Orthogroups
RefOG051	12	17	1.4167	0.2539	66	242	179	180	0.0660	1.6615	8.1233	Danio_rerio.ENSDARP00000152758, Drosophila_melanogaster.FBpp0088438, Monodelphis_domestica.ENSMODP00000004972, Homo_sapiens.ENSP00000367615, Pan_troglodytes.ENSPTRP00000014433, Tetraodon_nigroviridis.ENSTNIP00000007995, Gallus_gallus.ENSGALP00000044023, Tetraodon_nigroviridis.ENSTNIP00000019325, Danio_rerio.ENSDARP00000129362, Caenorhabditis_elegans.WBGene00020557.1, Ciona_intestinalis.ENSCINP00000035369, Danio_rerio.ENSDARP00000124165, Tetraodon_nigroviridis.ENSTNIP00000006541, Canis_familiaris.ENSCAFP00000029425, Gallus_gallus.ENSGALP00000042557, Rattus_norvegicus.ENSRNOP00000061449, Mus_musculus.ENSMUSP00000006764
RefOG043	12	17	1.4167	0.1034	78	457	348	407	0.0000	1.5292	3.3102	Caenorhabditis_elegans.WBGene00009189.1, Pan_troglodytes.ENSPTRP00000071872, Ciona_intestinalis.ENSCINP00000014158, Rattus_norvegicus.ENSRNOP00000071553, Gallus_gallus.ENSGALP00000054065, Monodelphis_domestica.ENSMODP00000000871, Monodelphis_domestica.ENSMODP00000044148, Canis_familiaris.ENSCAFP00000054654, Rattus_norvegicus.ENSRNOP00000007276, Mus_musculus.ENSMUSP00000080301, Homo_sapiens.ENSP00000338788, Danio_rerio.ENSDARP00000017582, Tetraodon_nigroviridis.ENSTNIP00000012749, Pan_troglodytes.ENSPTRP00000021742, Drosophila_melanogaster.FBpp0308450, Monodelphis_domestica.ENSMODP00000055025, Monodelphis_domestica.ENSMODP00000013310
RefOG041	12	17	1.4167	0.078	153	196	179	178	0.0000	0.9702	2.4967	Tetraodon_nigroviridis.ENSTNIP00000005169, Homo_sapiens.ENSP00000496250, Mus_musculus.ENSMUSP00000099595, Canis_familiaris.ENSCAFP00000046142, Canis_familiaris.ENSCAFP00000031345, Caenorhabditis_elegans.WBGene00004423.1, Danio_rerio.ENSDARP00000063869, Drosophila_melanogaster.FBpp0085717, Gallus_gallus.ENSGALP00000047166, Pan_troglodytes.ENSPTRP00000091393, Monodelphis_domestica.ENSMODP00000044088, Rattus_norvegicus.ENSRNOP00000072829, Ciona_intestinalis.ENSCINP00000006833, Pan_troglodytes.ENSPTRP00000089839, Caenorhabditis_elegans.WBGene00004422.1, Rattus_norvegicus.ENSRNOP00000005511, Canis_familiaris.ENSCAFP00000051517
RefOG057	12	16	1.3333	0.2612	125	399	258	253	0.0345	2.4043	7.8370	Tetraodon_nigroviridis.ENSTNIP00000020711, Danio_rerio.ENSDARP00000147427, Danio_rerio.ENSDARP00000072465, Danio_rerio.ENSDARP00000155511, Tetraodon_nigroviridis.ENSTNIP00000021505, Ciona_intestinalis.ENSCINP00000025558, Gallus_gallus.ENSGALP00000048776, Pan_troglodytes.ENSPTRP00000002323, Rattus_norvegicus.ENSRNOP00000074705, Canis_familiaris.ENSCAFP00000062230, Drosophila_melanogaster.FBpp0086203, Homo_sapiens.ENSP00000357507, Mus_musculus.ENSMUSP00000124554, Mus_musculus.ENSMUSP00000159150, Monodelphis_domestica.ENSMODP00000045994, Caenorhabditis_elegans.WBGene00044438.1
RefOG001	12	15	1.25	0.1063	272	579	345	322	0.0000	1.5250	2.9761	Homo_sapiens.ENSP00000373312, Rattus_norvegicus.ENSRNOP00000007474, Pan_troglodytes.ENSPTRP00000071151, Ciona_intestinalis.ENSCINP00000005198, Tetraodon_nigroviridis.ENSTNIP00000005325, Danio_rerio.ENSDARP00000071531, Danio_rerio.ENSDARP00000147265, Monodelphis_domestica.ENSMODP00000006811, Danio_rerio.ENSDARP00000154605, Gallus_gallus.ENSGALP00000060372, Drosophila_melanogaster.FBpp0311988, Mus_musculus.ENSMUSP00000032440, Canis_familiaris.ENSCAFP00000053904, Caenorhabditis_elegans.WBGene00003806.1, Rattus_norvegicus.ENSRNOP00000014377
RefOG050	12	14	1.1667	0.1116	88	477	423	466	0.1078	1.0994	2.9019	Tetraodon_nigroviridis.ENSTNIP00000007573, Monodelphis_domestica.ENSMODP00000009967, Homo_sapiens.ENSP00000379865, Danio_rerio.ENSDARP00000070033, Gallus_gallus.ENSGALP00000054565, Canis_familiaris.ENSCAFP00000010872, Homo_sapiens.ENSP00000497007, Rattus_norvegicus.ENSRNOP00000009462, Pan_troglodytes.ENSPTRP00000068416, Mus_musculus.ENSMUSP00000116627, Homo_sapiens.ENSP00000428055, Drosophila_melanogaster.FBpp0071759, Caenorhabditis_elegans.WBGene00012608.1, Ciona_intestinalis.ENSCINP00000009349
RefOG066	12	14	1.1667	0.2566	92	386	276	278	0.0000	1.6521	6.6704	Danio_rerio.ENSDARP00000153743, Canis_familiaris.ENSCAFP00000061009, Mus_musculus.ENSMUSP00000111291, Caenorhabditis_elegans.WBGene00013587.1, Caenorhabditis_elegans.WBGene00011305.1, Rattus_norvegicus.ENSRNOP00000070354, Gallus_gallus.ENSGALP00000056541, Monodelphis_domestica.ENSMODP00000012959, Drosophila_melanogaster.FBpp0309341, Mus_musculus.ENSMUSP00000138919, Ciona_intestinalis.ENSCINP00000033401, Pan_troglodytes.ENSPTRP00000072362, Homo_sapiens.ENSP00000384827, Tetraodon_nigroviridis.ENSTNIP00000019875
RefOG064	12	14	1.1667	0.6425	155	949	473	430	0.0050	1.5798	16.7051	Ciona_intestinalis.ENSCINP00000033523, Monodelphis_domestica.ENSMODP00000038097, Mus_musculus.ENSMUSP00000025406, Rattus_norvegicus.ENSRNOP00000020030, Drosophila_melanogaster.FBpp0087322, Caenorhabditis_elegans.WBGene00008934.1, Ciona_intestinalis.ENSCINP00000001689, Gallus_gallus.ENSGALP00000008505, Tetraodon_nigroviridis.ENSTNIP00000012132, Pan_troglodytes.ENSPTRP00000029375, Danio_rerio.ENSDARP00000098626, Homo_sapiens.ENSP00000341324, Canis_familiaris.ENSCAFP00000000734, Drosophila_melanogaster.FBpp0081540
RefOG008	12	14	1.1667	0.1483	207	485	256	239	0.0625	1.6291	3.8555	Homo_sapiens.ENSP00000326817, Mus_musculus.ENSMUSP00000099554, Canis_familiaris.ENSCAFP00000016379, Gallus_gallus.ENSGALP00000064119, Monodelphis_domestica.ENSMODP00000057788, Tetraodon_nigroviridis.ENSTNIP00000005152, Danio_rerio.ENSDARP00000064514, Rattus_norvegicus.ENSRNOP00000075733, Pan_troglodytes.ENSPTRP00000011913, Homo_sapiens.ENSP00000497618, Rattus_norvegicus.ENSRNOP00000050922, Ciona_intestinalis.ENSCINP00000024085, Caenorhabditis_elegans.WBGene00022759.1, Drosophila_melanogaster.FBpp0070997
RefOG032	12	14	1.1667	0.2681	481	648	598	602	0.0420	1.3341	6.9704	Canis_familiaris.ENSCAFP00000052117, Ciona_intestinalis.ENSCINP00000018455, Drosophila_melanogaster.FBpp0308795, Tetraodon_nigroviridis.ENSTNIP00000021849, Drosophila_melanogaster.FBpp0080765, Gallus_gallus.ENSGALP00000010474, Pan_troglodytes.ENSPTRP00000026572, Caenorhabditis_elegans.WBGene00003007.1, Danio_rerio.ENSDARP00000106622, Monodelphis_domestica.ENSMODP00000023074, Homo_sapiens.ENSP00000478721, Drosophila_melanogaster.FBpp0303242, Mus_musculus.ENSMUSP00000135858, Rattus_norvegicus.ENSRNOP00000063141
RefOG067	12	13	1.0833	0.1425	124	312	145	125	0.0000	1.3651	3.4196	Ciona_intestinalis.ENSCINP00000023727, Homo_sapiens.ENSP00000357285, Pan_troglodytes.ENSPTRP00000002442, Caenorhabditis_elegans.WBGene00022402.1, Tetraodon_nigroviridis.ENSTNIP00000006614, Rattus_norvegicus.ENSRNOP00000026974, Pan_troglodytes.ENSPTRP00000079066, Monodelphis_domestica.ENSMODP00000043890, Mus_musculus.ENSMUSP00000029698, Canis_familiaris.ENSCAFP00000058079, Danio_rerio.ENSDARP00000058324, Gallus_gallus.ENSGALP00000058190, Drosophila_melanogaster.FBpp0085873
RefOG030	12	13	1.0833	0.2289	135	186	145	139	0.0000	0.6822	5.4947	Danio_rerio.ENSDARP00000152506, Homo_sapiens.ENSP00000308845, Monodelphis_domestica.ENSMODP00000047202, Tetraodon_nigroviridis.ENSTNIP00000007562, Pan_troglodytes.ENSPTRP00000018769, Drosophila_melanogaster.FBpp0300988, Rattus_norvegicus.ENSRNOP00000027029, Mus_musculus.ENSMUSP00000132443, Caenorhabditis_elegans.WBGene00011391.1, Gallus_gallus.ENSGALP00000044520, Canis_familiaris.ENSCAFP00000008389, Ciona_intestinalis.ENSCINP00000025837, Homo_sapiens.ENSP00000488926
RefOG040	12	13	1.0833	0.1943	175	2211	1858	2198	0.0693	0.7944	4.6621	Ciona_intestinalis.ENSCINP00000033683, Caenorhabditis_elegans.WBGene00013189.1, Ciona_intestinalis.ENSCINP00000031503, Homo_sapiens.ENSP00000358159, Monodelphis_domestica.ENSMODP00000022547, Drosophila_melanogaster.FBpp0082601, Gallus_gallus.ENSGALP00000024889, Danio_rerio.ENSDARP00000106925, Rattus_norvegicus.ENSRNOP00000053848, Pan_troglodytes.ENSPTRP00000031510, Canis_familiaris.ENSCAFP00000005292, Tetraodon_nigroviridis.ENSTNIP00000007744, Mus_musculus.ENSMUSP00000036726
RefOG045	12	13	1.0833	0.1722	298	809	678	735	0.0775	1.4402	4.1324	Pan_troglodytes.ENSPTRP00000063555, Tetraodon_nigroviridis.ENSTNIP00000019803, Ciona_intestinalis.ENSCINP00000018749, Drosophila_melanogaster.FBpp0073988, Rattus_norvegicus.ENSRNOP00000070792, Caenorhabditis_elegans.WBGene00017123.1, Monodelphis_domestica.ENSMODP00000016942, Canis_familiaris.ENSCAFP00000055260, Homo_sapiens.ENSP00000411960, Caenorhabditis_elegans.WBGene00000991.1, Gallus_gallus.ENSGALP00000003418, Danio_rerio.ENSDARP00000136011, Mus_musculus.ENSMUSP00000025385
