RefOGs	num_species	num_genes	min_length	max_length	mean_length	median_length	Orthogroups
RefOG027	11	20	290	674	383	372	Rattus_norvegicus.ENSRNOP00000016857, Monodelphis_domestica.ENSMODP00000015177, Pan_troglodytes.ENSPTRP00000032664, Danio_rerio.ENSDARP00000152543, Danio_rerio.ENSDARP00000010065, Mus_musculus.ENSMUSP00000027263, Gallus_gallus.ENSGALP00000056836, Tetraodon_nigroviridis.ENSTNIP00000021009, Danio_rerio.ENSDARP00000005376, Drosophila_melanogaster.FBpp0309256, Tetraodon_nigroviridis.ENSTNIP00000022142, Tetraodon_nigroviridis.ENSTNIP00000014654, Pan_troglodytes.ENSPTRP00000021817, Homo_sapiens.ENSP00000319192, Gallus_gallus.ENSGALP00000066262, Danio_rerio.ENSDARP00000067763, Canis_familiaris.ENSCAFP00000005183, Homo_sapiens.ENSP00000263955, Ciona_intestinalis.ENSCINP00000027245, Canis_familiaris.ENSCAFP00000015677
RefOG070	12	13	428	507	435	428	Gallus_gallus.ENSGALP00000004141, Canis_familiaris.ENSCAFP00000030390, Drosophila_melanogaster.FBpp0078414, Danio_rerio.ENSDARP00000054625, Rattus_norvegicus.ENSRNOP00000071791, Monodelphis_domestica.ENSMODP00000013319, Homo_sapiens.ENSP00000302967, Danio_rerio.ENSDARP00000135487, Caenorhabditis_elegans.WBGene00001835.1, Tetraodon_nigroviridis.ENSTNIP00000013021, Mus_musculus.ENSMUSP00000037981, Ciona_intestinalis.ENSCINP00000004801, Pan_troglodytes.ENSPTRP00000029652
RefOG007	9	57	309	3080	923	693	Rattus_norvegicus.ENSRNOP00000071610, Danio_rerio.ENSDARP00000120943, Monodelphis_domestica.ENSMODP00000021319, Tetraodon_nigroviridis.ENSTNIP00000013030, Rattus_norvegicus.ENSRNOP00000029263, Homo_sapiens.ENSP00000377699, Canis_familiaris.ENSCAFP00000012769, Tetraodon_nigroviridis.ENSTNIP00000019961, Mus_musculus.ENSMUSP00000116634, Mus_musculus.ENSMUSP00000158717, Mus_musculus.ENSMUSP00000051079, Tetraodon_nigroviridis.ENSTNIP00000007341, Danio_rerio.ENSDARP00000154795, Canis_familiaris.ENSCAFP00000050615, Gallus_gallus.ENSGALP00000001725, Monodelphis_domestica.ENSMODP00000017522, Tetraodon_nigroviridis.ENSTNIP00000013027, Pan_troglodytes.ENSPTRP00000072301, Danio_rerio.ENSDARP00000155319, Gallus_gallus.ENSGALP00000010309, Rattus_norvegicus.ENSRNOP00000039239, Monodelphis_domestica.ENSMODP00000060486, Pan_troglodytes.ENSPTRP00000084092, Monodelphis_domestica.ENSMODP00000017533, Tetraodon_nigroviridis.ENSTNIP00000012908, Canis_familiaris.ENSCAFP00000012793, Gallus_gallus.ENSGALP00000022368, Homo_sapiens.ENSP00000456794, Monodelphis_domestica.ENSMODP00000051618, Homo_sapiens.ENSP00000356581, Danio_rerio.ENSDARP00000142495, Pan_troglodytes.ENSPTRP00000054569, Canis_familiaris.ENSCAFP00000012785, Gallus_gallus.ENSGALP00000049008, Rattus_norvegicus.ENSRNOP00000057982, Gallus_gallus.ENSGALP00000050330, Danio_rerio.ENSDARP00000115692, Pan_troglodytes.ENSPTRP00000042713, Mus_musculus.ENSMUSP00000108019, Tetraodon_nigroviridis.ENSTNIP00000016620, Danio_rerio.ENSDARP00000124010, Pan_troglodytes.ENSPTRP00000041054, Danio_rerio.ENSDARP00000101005, Pan_troglodytes.ENSPTRP00000092276, Canis_familiaris.ENSCAFP00000016093, Danio_rerio.ENSDARP00000121957, Canis_familiaris.ENSCAFP00000052220, Tetraodon_nigroviridis.ENSTNIP00000002924, Danio_rerio.ENSDARP00000107322, Mus_musculus.ENSMUSP00000132628, Homo_sapiens.ENSP00000332900, Rattus_norvegicus.ENSRNOP00000020062, Tetraodon_nigroviridis.ENSTNIP00000021388, Mus_musculus.ENSMUSP00000137520, Homo_sapiens.ENSP00000369198, Danio_rerio.ENSDARP00000060709, Homo_sapiens.ENSP00000290823
RefOG059	10	10	1250	1341	1298	1298	Danio_rerio.ENSDARP00000122813, Homo_sapiens.ENSP00000275159, Monodelphis_domestica.ENSMODP00000046619, Ciona_intestinalis.ENSCINP00000014439, Mus_musculus.ENSMUSP00000097328, Rattus_norvegicus.ENSRNOP00000001051, Gallus_gallus.ENSGALP00000023954, Canis_familiaris.ENSCAFP00000057847, Tetraodon_nigroviridis.ENSTNIP00000022344, Pan_troglodytes.ENSPTRP00000093050
RefOG046	11	32	57	113	86	92	Danio_rerio.ENSDARP00000149337, Canis_familiaris.ENSCAFP00000065560, Canis_familiaris.ENSCAFP00000037138, Monodelphis_domestica.ENSMODP00000037042, Pan_troglodytes.ENSPTRP00000088767, Rattus_norvegicus.ENSRNOP00000042454, Rattus_norvegicus.ENSRNOP00000004303, Pan_troglodytes.ENSPTRP00000093619, Caenorhabditis_elegans.WBGene00004456.1, Canis_familiaris.ENSCAFP00000034989, Rattus_norvegicus.ENSRNOP00000047513, Monodelphis_domestica.ENSMODP00000049610, Canis_familiaris.ENSCAFP00000043258, Monodelphis_domestica.ENSMODP00000042208, Rattus_norvegicus.ENSRNOP00000033369, Canis_familiaris.ENSCAFP00000056019, Homo_sapiens.ENSP00000418082, Canis_familiaris.ENSCAFP00000055696, Pan_troglodytes.ENSPTRP00000093378, Canis_familiaris.ENSCAFP00000052086, Drosophila_melanogaster.FBpp0078655, Canis_familiaris.ENSCAFP00000047743, Ciona_intestinalis.ENSCINP00000024072, Monodelphis_domestica.ENSMODP00000056480, Canis_familiaris.ENSCAFP00000061445, Monodelphis_domestica.ENSMODP00000059229, Monodelphis_domestica.ENSMODP00000058728, Mus_musculus.ENSMUSP00000058919, Tetraodon_nigroviridis.ENSTNIP00000010730, Canis_familiaris.ENSCAFP00000058366, Canis_familiaris.ENSCAFP00000052309, Canis_familiaris.ENSCAFP00000066500
RefOG057	12	16	125	399	258	253	Mus_musculus.ENSMUSP00000124554, Tetraodon_nigroviridis.ENSTNIP00000020711, Danio_rerio.ENSDARP00000072465, Mus_musculus.ENSMUSP00000159150, Monodelphis_domestica.ENSMODP00000045994, Tetraodon_nigroviridis.ENSTNIP00000021505, Danio_rerio.ENSDARP00000147427, Rattus_norvegicus.ENSRNOP00000074705, Gallus_gallus.ENSGALP00000048776, Danio_rerio.ENSDARP00000155511, Ciona_intestinalis.ENSCINP00000025558, Pan_troglodytes.ENSPTRP00000002323, Caenorhabditis_elegans.WBGene00044438.1, Canis_familiaris.ENSCAFP00000062230, Drosophila_melanogaster.FBpp0086203, Homo_sapiens.ENSP00000357507
RefOG053	11	13	410	1262	894	893	Drosophila_melanogaster.FBpp0297348, Monodelphis_domestica.ENSMODP00000048755, Tetraodon_nigroviridis.ENSTNIP00000021045, Canis_familiaris.ENSCAFP00000016488, Mus_musculus.ENSMUSP00000142109, Rattus_norvegicus.ENSRNOP00000026327, Gallus_gallus.ENSGALP00000073380, Pan_troglodytes.ENSPTRP00000025763, Ciona_intestinalis.ENSCINP00000018986, Gallus_gallus.ENSGALP00000051570, Tetraodon_nigroviridis.ENSTNIP00000007942, Danio_rerio.ENSDARP00000106371, Homo_sapiens.ENSP00000312435
RefOG044	11	14	109	681	534	600	Gallus_gallus.ENSGALP00000012517, Mus_musculus.ENSMUSP00000003620, Rattus_norvegicus.ENSRNOP00000002576, Caenorhabditis_elegans.WBGene00007197.1, Canis_familiaris.ENSCAFP00000059509, Homo_sapiens.ENSP00000349577, Danio_rerio.ENSDARP00000108900, Danio_rerio.ENSDARP00000085764, Mus_musculus.ENSMUSP00000149861, Drosophila_melanogaster.FBpp0076904, Homo_sapiens.ENSP00000481127, Pan_troglodytes.ENSPTRP00000078153, Tetraodon_nigroviridis.ENSTNIP00000011923, Monodelphis_domestica.ENSMODP00000046488
RefOG034	10	21	275	459	288	277	Danio_rerio.ENSDARP00000132762, Mus_musculus.ENSMUSP00000047712, Homo_sapiens.ENSP00000290349, Gallus_gallus.ENSGALP00000064702, Monodelphis_domestica.ENSMODP00000037994, Rattus_norvegicus.ENSRNOP00000043385, Homo_sapiens.ENSP00000290354, Danio_rerio.ENSDARP00000024104, Mus_musculus.ENSMUSP00000147517, Monodelphis_domestica.ENSMODP00000044951, Ciona_intestinalis.ENSCINP00000030937, Tetraodon_nigroviridis.ENSTNIP00000012764, Pan_troglodytes.ENSPTRP00000023898, Monodelphis_domestica.ENSMODP00000043880, Canis_familiaris.ENSCAFP00000021331, Rattus_norvegicus.ENSRNOP00000051107, Rattus_norvegicus.ENSRNOP00000073686, Rattus_norvegicus.ENSRNOP00000002310, Mus_musculus.ENSMUSP00000049394, Canis_familiaris.ENSCAFP00000014164, Pan_troglodytes.ENSPTRP00000023900
RefOG042	11	11	157	312	212	200	Tetraodon_nigroviridis.ENSTNIP00000010028, Gallus_gallus.ENSGALP00000065695, Drosophila_melanogaster.FBpp0081772, Ciona_intestinalis.ENSCINP00000024927, Pan_troglodytes.ENSPTRP00000039163, Monodelphis_domestica.ENSMODP00000043783, Canis_familiaris.ENSCAFP00000047494, Rattus_norvegicus.ENSRNOP00000061871, Homo_sapiens.ENSP00000347324, Danio_rerio.ENSDARP00000122154, Mus_musculus.ENSMUSP00000089781
RefOG040	12	13	175	2211	1858	2198	Homo_sapiens.ENSP00000358159, Tetraodon_nigroviridis.ENSTNIP00000007744, Monodelphis_domestica.ENSMODP00000022547, Drosophila_melanogaster.FBpp0082601, Canis_familiaris.ENSCAFP00000005292, Ciona_intestinalis.ENSCINP00000031503, Caenorhabditis_elegans.WBGene00013189.1, Rattus_norvegicus.ENSRNOP00000053848, Ciona_intestinalis.ENSCINP00000033683, Danio_rerio.ENSDARP00000106925, Mus_musculus.ENSMUSP00000036726, Gallus_gallus.ENSGALP00000024889, Pan_troglodytes.ENSPTRP00000031510
RefOG067	12	13	124	312	145	125	Danio_rerio.ENSDARP00000058324, Caenorhabditis_elegans.WBGene00022402.1, Mus_musculus.ENSMUSP00000029698, Pan_troglodytes.ENSPTRP00000079066, Ciona_intestinalis.ENSCINP00000023727, Homo_sapiens.ENSP00000357285, Rattus_norvegicus.ENSRNOP00000026974, Pan_troglodytes.ENSPTRP00000002442, Tetraodon_nigroviridis.ENSTNIP00000006614, Monodelphis_domestica.ENSMODP00000043890, Drosophila_melanogaster.FBpp0085873, Canis_familiaris.ENSCAFP00000058079, Gallus_gallus.ENSGALP00000058190
RefOG016	11	25	458	1257	673	648	Mus_musculus.ENSMUSP00000099162, Pan_troglodytes.ENSPTRP00000079435, Homo_sapiens.ENSP00000339916, Gallus_gallus.ENSGALP00000039786, Rattus_norvegicus.ENSRNOP00000026032, Monodelphis_domestica.ENSMODP00000017313, Mus_musculus.ENSMUSP00000015137, Danio_rerio.ENSDARP00000087617, Monodelphis_domestica.ENSMODP00000012063, Canis_familiaris.ENSCAFP00000061863, Tetraodon_nigroviridis.ENSTNIP00000018947, Drosophila_melanogaster.FBpp0073493, Pan_troglodytes.ENSPTRP00000092352, Tetraodon_nigroviridis.ENSTNIP00000007193, Gallus_gallus.ENSGALP00000011249, Pan_troglodytes.ENSPTRP00000049722, Danio_rerio.ENSDARP00000021697, Danio_rerio.ENSDARP00000132730, Homo_sapiens.ENSP00000409717, Tetraodon_nigroviridis.ENSTNIP00000008535, Rattus_norvegicus.ENSRNOP00000001996, Tetraodon_nigroviridis.ENSTNIP00000007192, Tetraodon_nigroviridis.ENSTNIP00000005896, Ciona_intestinalis.ENSCINP00000005959, Canis_familiaris.ENSCAFP00000018366
